"ID","Pair","Long","Lat","Elevation","Race","GBS","Elevation_class","id","general_identifier","bank_number","collnumb","colldate","Sample.ID.of.DNA.from.single.plants.used.in.GWAS","CIMMYT_ID","SeeD_Elevation","Elevation_flag"
"CIMMYTMA-000449","Mex_20",-100.726374,28.26979,356,"TUXPEN",TRUE,"Low",189,5474,"CIMMYTMA-BANK-000449","COAH64","1952-02-03","SEEDGWAS3809","CIMMYTMA 449",356,FALSE
"CIMMYTMA-000547","Mex_30",-99.632358,21.445085,562,"TUXPEN",FALSE,"Low",238,5778,"CIMMYTMA-BANK-000547","QUER50","","","CIMMYTMA 547",562,FALSE
"CIMMYTMA-000554","Mex_30",-101.25,21.01666667,2064,"CELAYA",TRUE,"High",240,5782,"CIMMYTMA-BANK-000554","GUAN4","1943-01-01","SEEDGWAS2678","CIMMYTMA 554",2064,FALSE
"CIMMYTMA-000645","Mex_11",-104.563018,29.566727,798,"CELAYA",FALSE,"Low",8489,243742,"CIMMYTMA-BANK-000645","CHIH15","1943-01-01","","CIMMYTMA 645",798,FALSE
"CIMMYTMA-000686","Mex_7",-95.436809,18.589859,30,"TUXPEN",FALSE,"Low",8511,243764,"CIMMYTMA-BANK-000686","VERA126","1952-01-01","","CIMMYTMA 686",30,FALSE
"CIMMYTMA-000861","Mex_29",-107.460246,24.824405,46,"CHAPAL",FALSE,"Low",8640,243893,"CIMMYTMA-BANK-000861","SINA2","1943-01-01","","CIMMYTMA 861",46,FALSE
"CIMMYTMA-001535","Mex_13",-99.8,20.7,2039,"CONNOR",FALSE,"High",9107,244360,"CIMMYTMA-BANK-001535","QUER56","","","CIMMYTMA 1535",2039,FALSE
"CIMMYTMA-001968","Mex_27",-98.68333333,18.88333333,2261,"PEPITI",FALSE,"High",9421,244674,"CIMMYTMA-BANK-001968","MORE37","1967-01-01","","CIMMYTMA 1968",2261,FALSE
"CIMMYTMA-002335","Mex_3",-97.382222,20.43027778,109,"TUXPEN",FALSE,"Low",768,9335,"CIMMYTMA-BANK-002335","VERA77","1948-01-01","","CIMMYTMA 2335",109,FALSE
"CIMMYTMA-003229","Mex_25",-96.87,20.32,5,"TUXPEN",TRUE,"Low",971,11474,"CIMMYTMA-BANK-003229","VERA142","1959-07-02","SEEDGWAS156","CIMMYTMA 3229",5,FALSE
"CIMMYTMA-003266","Mex_22",-97.75,21.1,88,"TEPECI",FALSE,"Low",10357,245610,"CIMMYTMA-BANK-003266","VERA201","1959-07-08","","CIMMYTMA 3266",88,FALSE
"CIMMYTMA-005339","Mex_27",-102.8,19.06,324,"VANDEN",FALSE,"Low",11832,247085,"CIMMYTMA-BANK-005339","MICH180","1952-02-05","","CIMMYTMA 5339",324,FALSE
"CIMMYTMA-005460","Mex_1",-100.65,18.35,245,"TUXPEN",TRUE,"Low",1621,16739,"CIMMYTMA-BANK-005460","GUER51","1947-01-01","SEEDGWAS3869","CIMMYTMA 5460",245,FALSE
"CIMMYTMA-005606","Mex_15",-102.2666667,19.65,2287,"CACAHU",FALSE,"High",11999,247252,"CIMMYTMA-BANK-005606","MICH355","1970-01-16","","CIMMYTMA 5606",2287,FALSE
"CIMMYTMA-005613","Mex_25",-101.582675,19.499015,2280,"MUSHIT",FALSE,"High",12006,247259,"CIMMYTMA-BANK-005613","MICH371","1970-01-16","","CIMMYTMA 5613",2280,FALSE
"CIMMYTMA-006081","Mex_14",-97.867153,17.190837,2338,"CONICO",TRUE,"High",1807,19758,"CIMMYTMA-BANK-006081","OAXA350","1970-02-12","SEEDGWAS2777","CIMMYTMA 6081",2338,FALSE
"CIMMYTMA-007015","Mex_4",-105.3333333,20.31666667,655,"TUXPEN",TRUE,"Low",2011,20644,"CIMMYTMA-BANK-007015","JALI276","1968-11-14","SEEDGWAS3232","CIMMYTMA 7015",655,FALSE
"CIMMYTMA-007026","Mex_13",-105.1666667,21.2,8,"TUXPEN",FALSE,"Low",13069,248322,"CIMMYTMA-BANK-007026","NAYA149","1968-01-01","","CIMMYTMA 7026",8,FALSE
"CIMMYTMA-007076","Mex_18",-104.8833333,21.71666667,177,"BOFO",FALSE,"Low",13097,248350,"CIMMYTMA-BANK-007076","NAYA222","1968-01-01","","CIMMYTMA 7076",177,FALSE
